内容,时间戳
在轮回几次，道具组的瓜子就不够用了,583.24300
伏笔回收，纸盒上的,2181.05500
无限循环,617.97900
鸡汤来咯,429.47900
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？,459.36800
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？,422.63200
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？,418.25900
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？,414.90800
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈h'h'h'h,367.91700
1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,348.68300
1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,348.68300
我是可莉玩家！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,341.87100
看成星穹了,11.32300
怎么跟锅导说话的！,1960.16900
熊哈哈哈哈哈第二次了,573.34200
北极熊啊啊啊啊啊啊,252.74200
树叶白姨画面全剪了,18.78700
我是神里绫华的狗！！！！,2411.06900
原来你也玩原神？,1785.60400
太帅了莴苣妈妈！,1469.92200
北极熊,278.38200
自由魂,269.98200
自由魂！,247.82200
那年夏天蜀道难,1.06500
中国拜??,20.21900
北极熊！（尖叫）,183.80300
北极熊,166.49700
北极熊！（尖叫）,147.38100
原神，启动,2436.34000
赛诺上大号说话,2275.12200
哈哈哈哈哈哈哈哈哈哈哈笑不行了,2054.95100
原魔冒险团,14.05900
wu~,1858.88200
原来你也,1786.20000
元素视野,1749.49400
欧庇克莱川剧院,1566.59600
水龙水龙，别哭啦~,1438.87600
院审，启动,824.59000
还有一个被吃掉了，就是天才。,1903.16600
你是派蒙吗？,1689.61400
数独？幻方？,507.74000
原来你也玩原神,1785.85300
突然想起了丹迪,973.22300
莴苣：锅巴有五名，我要找三个,2083.44800
得加钱,1577.59800
老师：你们是我带过最差的一届学生,1227.90200
莴苣！莴苣！,761.32000
看看地上的瓜子,631.69900
啊啊哈哈哈哈哈哈哈,542.93100
啥玩意,494.12100
？,456.48800
没想到北极熊长这样,269.63000
boy！,162.04600
原来你也,1784.50900
原来你也,1781.10700
58同城,1675.50700
妈妈不做攻略了,1464.66700
原来你也玩原神！,1779.85700
万一点心的个数是线索怎么办？,1713.11500
不愧是你,1678.36600
不愧是莴苣妈妈,1090.15900
流萤呢,190.24500
莴苣：攻略启动,557.94700
花神诞祭现实版,539.66700
魂姐MVP,2239.63500
我也是在京剧猫里·-·,885.66600
把原神踢走了哈哈哈哈,1912.59300
原来你也玩原神,1783.37400
九宫数,459.60700
看椅子的数量就行了呀 ，这不都是对得上的吗？,670.69700
出城！,617.40600
戴九履一，左三右七，二四为肩，六八为足，无居中央，还好我背过一点河图洛书,515.04900
花神诞祭？！,486.76000
带961左三右七,515.04900
还是崩三玩家很熟悉的up主,276.56000
笑飞了,1352.55100
花神之舞,1007.50600
他们都去四川了 去附近的陕西有这么难吗？,126.59800
摸仙城堡嘿嘿，嘿嘿，摸拉摸拉,1395.57400
原来你也玩原神,1642.21500
妈妈就是强,1528.68100
龙脊雪山,87.99200
舞王,1030.02400
钟离,123.15500
启动！,18.72300
好耶！,7.58700
待会批上去,425.34600
不愧叫整活频道,2431.26900
308个人晚上好,1361.57900
这BGM还是问姐姐借的是吧哈哈哈哈,1325.60900
教令院,828.59800
哈哈哈哈哈哈哈哈哈,270.89600
《开端》,550.80200
我是散兵的狗！！！,283.44600
哈哈哈给你们哈哈哈哈(✿^‿^),276.04600
平老的冲击波无敌,334.95000
锅巴的新服装熊猫,140.21800
原来你也......,1800.87800
原来你也,1803.19100
温馨提示：稻妻数独找张草稿纸写下来一下子就解开了，这样比较简单,712.06300
不愧是莴苣妈妈,1102.47000
专业对口了属于是,739.33200
花神诞祭,597.74600
我是那维莱特的狗！！！,2372.34500
原来你也……,1769.27600
有两个解,755.37600
左下角是四或六都可以解出来。,713.66100
列一个方程带进去很简单。,708.37000
原神你是懂综艺的。满满的综艺感,224.56700
帝君的小曲。,197.66600
花神诞祭,530.68400
这个BGM哈哈哈哈哈,2354.02800
笑死我了,420.94600
原来你也...,1790.77700
原神，启动,2436.13500
不忘初心,2431.18600
笑死，这个bjm,2347.09000
原来你也玩原神,2325.03300
赛诺上大号说话,861.41500
熊好耐看啊 越看越乖,480.22000
妈妈,161.44100
懂哥吗？,22.61900
492,634.05300
816,634.05300
天籁之音,261.57100
人有五名，代价有三(bushi,212.69300
俺滴璃月！！！,19.31800
原神，启～动,2438.52300
座有五个，有人的有三,219.05900
他们不要摩拉了吗,1567.78500
666,24.00000
纸巾盒,2190.70800
他不是有个硕大的公司吗？来这里逍遥又自在是吧？,161.08400
原来你也玩原神?,1766.90900
后期剪一刀哈哈哈哈哈哈,1481.87000
哈哈哈哈哈哈,1257.94500
河图洛书加花神诞祭,532.45500
河图洛书？,496.91100
不愧是莴苣妈妈,1090.75300
原神，启动,12.64700
我是钟离的狗,2367.81200
原神启动,118.11600
160原石,960.46800
他好帅啊，他好帅,1091.62900
哈哈哈哈哈哈哈哈哈哈哈哈哈哈,925.29300
单手剑还挂水,877.21000
行秋,874.91600
循环？,536.12700
第一步已经忘记了,1207.91300
把茶杯数量变一下说话不就不一样了,617.81700
是不是按椅子数量摆茶杯,660.90800
这是花神祭旦的剧情不,595.64600
《花神诞祭》,532.43100
帮帮我，史瓦罗先生！,514.34200
欧庇克莱三花淡奶川剧院,2383.92200
我突然释怀的笑,2428.39000
原来你也！？,1782.18500
四川！,62.03500
河图,607.08100
我是那维的狗！,2380.43300
锅巴？,2068.95300
不愧是莴苣妈妈,1088.65300
我的所在地,28.33100
魂门,2246.22800
要是一直不动的话，地上要撒多少瓜子,603.24500
莴苣妈妈开始思考攻略视频,576.67300
这个bgm笑死我了,2346.03000
空瓶是我的！！！！,1253.05300
花神诞祭,535.97600
哦～你也玩原神！,1958.50000
空瓶是我的！,1013.36900
空瓶是我的啦,988.25800
太厉害了！,885.19100
好厉害！！！,870.20100
谁和我一样在边吃东西边看呢？,134.54100
第三列：672,715.22200
第二列：159,715.22200
第一列：834,715.22200
《原来你也玩原神》,1798.98200
名场面,1774.46200
女鹅,2352.98700
这太诱惑了！,270.88300
哦，我懂了，放茶杯是按椅子的数量去放,627.14500
哈哈哈哈,302.20800
我操全是我关注的,230.38500
哈哈哈哈哈哈哈哈哈哈哈哈哈哈好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1806.09400
原来你也…,1789.41400
拼捞捞,39.31600
三花淡奶（bushi）,2381.74300
轻策庄,97.44500
《蜀道难》,83.77900
好耶，我就是四川人。,5.57900
他的世界任务为什么有配音,578.02700
太诱惑了.jpg,260.20700
熊！！！！！！！,255.11100
熊啊！！！！！！！,139.16800
血流胡二五八是吧,470.80500
原来你也玩原神,1780.11600
须弥主线剧情，花神诞祭,535.01600
有点小尬。,49.59100
原神启动！！！,2438.00000
原神启动,2339.00000
我，四川人！,16.98400
元素视野,1879.00000
原来你也玩原神？,1791.00000
企鹅物流,920.19500
要不打把伞吧,1396.20100
湖里大概率没水了,1459.00000
蹦蹦炸弹,338.99900
牛逼,2436.61900
自由魂给坐扁了,370.78400
曾言道……,40.01900
怎么可以吧原神去掉呢,1951.03500
不愧是莴苣妈妈,1464.29300
？,1076.41900
原来你也玩原神,1780.68900
钟离定的吧,937.11500
陷入循环了,539.36500
不愧是你,1678.92600
启动启动,831.29300
前面的我也是,2378.97700
莴苣妈妈好厉害,1164.34200
《原神      再来！！！！！！！！！》,1208.79300
真不愧是攻略区UP主,1470.11800
启动！！！！！！！！！！,87.45900
莴苣要上号了,596.70300
难怪要带上莴苣，得带个妈来解密,496.59400
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2329.50500
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2100.41100
指定是五个锅巴,2065.16700
hhhuh,593.23700
《原来你也玩原神》外加《哈？哈？》,1814.07400
原来你也玩～,1787.58100
院审，启动！,819.42600
?老歌,1286.53000
<全是水>,1277.50600
你怎么又来了帝君,110.34000
芙芙可爱,1262.87600
古有花神诞祭 现有茶馆诞祭,649.11500
第一个说摩拉的npc！,1457.46100
开挂了,1380.12700
好耶！！！,6.81800
伊邪那美,598.69900
花神诞祭,392.28000
哈?桂林?,53.12800
哎嘿,1225.14000
 《25个648》,275.30300
《挑战失败》,1201.01100
水不会不够倒杯子里吧,1445.44100
芙芙！！！,1259.62100
男同北极熊,261.69600
哇,238.01100
我仿佛听到了试卷题目念白,505.06300
戴九履一是吧…,499.70900
熊肩上的熊好可爱,1666.53700
熊挺惨啊,577.32700
哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2350.33000
北极熊没有皮套真的好出戏，太可爱了,1379.21200
钟离先生,111.58000
我是散兵的狗！T^T,2382.33800
好耶，是魂儿和熊,251.59700
原来你也玩原神（秒了,1765.41700
原来你也,1640.63800
哈哈哈哈哈哈哈哈哈哈笑死我了,1806.52300
专业对口,686.83300
觉醒吧莴苣！,662.83300
原来你也玩原神,2047.96500
解密,505.47300
离心力,866.08900
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1923.05000
是尘歌壶吗,342.67200
花神诞祭是吧,542.72000
感动了家人们,2355.31300
莴苣妈妈厉害！！！,1465.65900
进度条你在干什么？！,1919.20600
王瀚哲！,123.38800
找茶（茬）是吧,422.59300
温迪突然出现,1225.06700
哈哈哈哈哈哈哈哈，锅巴,1434.07900
邵湛快来,759.91900
让邵湛来！,659.91900
原来你也玩.....,1780.31500
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,265.48900
沏茶书,1113.12700
雨线难画！,881.46700
《卡BUG了?》,594.98700
《童年噩梦》,594.98700
我是芙芙的狗！,2398.17900
60原石，黄毛哥腿跑段,354.90700
原来你也。。。,1784.47500
哈哈哈哈哈哈哈哈哈,2438.37800
前面的组团,2376.68100
花神诞祭,528.71800
帝君一只,108.42800
原神,77.37900
嘟嘟可:我免费了,1571.90900
北极熊！,261.33200
大胆！,424.46300
厂白小,1843.24900
妈妈，我爱你！！！,1555.94900
锅巴,2076.48700
哈哈哈哈哈哈,2058.00500
666666,768.20300
妈妈！！！我爱你,684.68500
潮水啊，我已归来,1408.82000
妈妈！！！,673.96600
卧槽,1857.53200
原来你也,1784.92500
我是宵宫的狗！！！！！,2407.55300
滴----,615.42600
记忆点！,542.29500
好好好这么玩是吧,2438.03400
世界任务已开启,944.93500
北极熊！！！！！！！,227.62400
来看熊,141.80300
原来锅巴也玩原神（乐）,2323.01000
三花淡奶,2381.77600
怎么没有弹幕,373.30500
原神启动,2436.60900
蚌不住了，哈哈,2351.21000
啊啊啊啊啊啊啊芙芙,1258.82200
浓度低的都看不了。,2341.48300
原来你也玩原神,1789.68300
字-纸,2190.48800
纸巾盒背面有一个,2147.54100
不会是要同时照亮五个锅巴吧,2077.26000
原来你也玩原神!,1793.24500
循环是吧,533.45000
肝又开始痛了,593.31100
来盐都自贡,121.31800
尊嘟假嘟,923.45400
使命必达！小命拉闸！,915.49900
卷心菜投手哈哈哈,804.12400
原神，启动!,2435.14900
这就是被魂宝毛走的通讯仪吗hhh,337.72500
白沙街疯人院,822.34100
最终宝藏:50原石,341.80900
什么时候才能听到这个bgm不笑,2346.62200
纸巾盒，反面有一个,2192.62200
救命，这个bgm！笑死我了,1811.74200
循环宇宙,616.04000
王哥平时跳舞都有点拐哈哈哈,1389.00000
我突然释怀的笑了,2432.25500
绷不住了,2429.93500
上回书说到，彼时的原梦冒险团……,13.65600
九宫格数独,470.19900
院神，启动！,822.76000
?,1162.14500
板凳！！！！！！！！！,653.22100
摩拉 是摩拉！！！,768.26500
我也是温迪的狗,2337.03000
我是饮月的天狗,270.02200
熊好像陈赫哈哈（声音也像）,272.28700
梦回李德博古,1211.77400
当愿望足够强烈你的头上就会出现一个蓝色感叹号，此时会有一个黄毛来帮你实现愿望,398.12500
钟离！,116.95400
芙芙,1267.19800
钟老爷子开始尘世闲游,111.67900
黄毛驾到统统闪开,515.92600
原梦毛线团 ?,19.50700
wbg被零封了 还没冠呢,2358.31200
我也有！,253.80800
真人啊！！！,253.91900
啊？少看一集？,128.55600
花神诞祭？,528.42300
应该就是你也玩原神,1961.91800
这里没有提示的话还真找不到，印在视野盲区,2292.00700
按v追踪目标,1638.37300
璃月小曲,204.16600
稻妻珊瑚岛方碑解密,450.30100
我是魈魈的狗！！！,2371.03800
赛诺上大号说话！！！,2269.59800
原来你也玩原！！！,2047.55500
你看，玩在圆形盘子上，意思是“玩原”,1783.18500
赛诺上大号说话，别玩谐音梗啊,1476.60500
哈哈哈哈，怎么放熊的“名场面”阿,253.05000
费瓜子啊,626.84700
幻方,522.09300
"So you play the original god, too",2336.48000
《元素视野》确信,1738.46300
会不会是笔画,1828.79900
6，花神诞祭,553.27800
如果是北极熊吃了一个那就节目效果爆炸了,2198.73700
帮你保养一下,785.84800
啊？这你也要（）,765.28800
大制作啊这次,29.28300
启动,15.78300
我是林尼的狗,1470.22800
原神官方授权了吗？,402.05300
？,399.81300
嘟嘟可扁了哈哈哈哈,892.11500
钟离！！！！！！,108.16400
这个家没有莴苣妈妈都得散,1160.19000
哈哈哈哈哈,1819.66600
我也不知道,1776.69600
锅巴：请想想我，好嘛？,2068.23100
单手剑和法师,797.24700
呼叫月妈妈,679.07500
梦回稻妻解密,520.52400
100年后的考古学家中，我们在大量的梗中发现了少量的综艺,1937.42500
帝君不愧是尘世闲游啊,109.46100
你就是大名鼎鼎的荣誉骑士吧,961.16300
专业对口！！,662.86100
宝箱(,755.60200
好好好，酱紫拍,593.29800
Boy正在流失水元素,1250.84100
喝啊！为什么不喝！,438.80100
找了半天，把正确答案和彩蛋搞反了,2068.48200
四川大剧院,1559.80600
你也玩原神？,1920.66200
盗宝团好料子,295.93000
（淳平）,152.26600
北极熊会不会把那个线索吃了？,1774.66200
啊，我少看了一季？,22.98400
水龙都要疯了,1446.16200
好像我们军训的时候练拳已经忘记了第1个动作该怎么做了,1154.55700
啊？？原神？中国boy？？？,0.42200
九宫格,646.74300
问你愿意加入吗？A愿意B十分愿意,308.84200
班尼冒险团？,288.70200
魂儿太厉害了,2229.27000
什么时候来河南啊,96.68800
莴苣已经开始解密了,549.62200
当下饭剧看,372.02700
北极熊哈哈哈,255.27100
元素方杯,1900.62600
空耳毛线团,80.22700
笑死了,1817.15900
北极熊好像场外解说 跟身体对不上,1215.93500
3,989.51500
化学老师口吻确信,1200.44400
原来你也玩原神,1782.58900
原来你也玩原神（确信,1768.38800
我是胡桃的狗,2392.16700
我来！我是魈的狗！,2401.23600
字由魂儿的三次方,231.07800
字由魂,231.07800
有花神诞祭那味了,538.75300
原来你也玩原神？！,1779.98600
洛河九宫格,624.44000
四川话好亲切,37.90700
规矩就是用来打破的,1633.64500
全员挂水,1399.57900
没有小红小蓝  不看,35.11200
啊！,14.63000
验证码（确信,1896.55800
好好好，花神诞祭,539.79400
好好好,83.25900
用锅巴把这烧了,1952.05700
浓度太高了,1799.75800
[前方高能],1247.83100
可爱捏,1692.42700
哈哈哈哈哈哈哈哈哈哈,1686.15600
不愧是你,1680.26100
要被弹幕笑死,1656.92400
模式逃脱可还行哈哈哈哈哈哈,1650.51200
谜语人笑死,1642.80900
怎么这么爱斧子,1635.51200
熊真的 我哭死,1627.47100
NPC真的好专业啊,1604.99600
可爱锅巴,1588.72300
注意这个嘟嘟,1575.74600
好厉害,1543.63400
天衣无缝！,1532.34600
nice,1524.62800
魂的表情好可爱,1480.05400
真的太帅了,1469.68300
还得是莴苣啊！,1463.06200
魂可爱,1447.82400
好呆的王哥,1409.54100
众人洗澡,1355.77700
老师真的好可爱啊哈哈哈哈哈哈哈哈,1348.81700
如果这就叫成功,1340.37600
哈哈哈哈哈哈哈哈哈,1298.50200
水龙水龙别哭啦,1292.51900
王哥你,1276.70700
哈哈哈哈哈哈哈哈哈哈,1270.18600
哈哈哈哈哈哈哈,1262.70400
哈哈哈哈哈哈哈哈哈哈哈,1246.22700
不愧是你,737.79000
好多国粹啊,120.07900
无限瓜子可还行,625.92800
瓜子：我有什么错,612.25000
梦回花神,605.33300
开头就上浓度,584.17900
又来了,573.88500
这个bgm很灵性,566.69000
轮回！！！触发,558.34600
真的要长脑子了,476.38900
是不是九宫格,467.37500
世界任务开始咯,456.05200
四川话还是蛮好听的,448.42500
啊？,425.78800
啊？,419.92400
宝箱好还原,391.57200
啊？,284.86800
你怎么还背了一只熊,263.01200
是魂！！！魂宝！,251.46700
好熟悉,206.56300
